epoch,accuracy,loss,val_accuracy,val_loss
0,0.3623028099536896,1.3293019533157349,0.44668588042259216,1.2654517889022827
1,0.642956018447876,0.9845283031463623,0.651296854019165,0.8820042014122009
2,0.7888181805610657,0.5881439447402954,0.6916426420211792,0.7665548920631409
3,0.849155843257904,0.416425496339798,0.7204610705375671,0.7491534352302551
4,0.8843066692352295,0.33023953437805176,0.7031700015068054,0.8363893032073975
5,0.9072792530059814,0.27404606342315674,0.6974063515663147,0.8429784178733826
6,0.9324660897254944,0.2220059335231781,0.6829971075057983,0.9063443541526794
7,0.9415997862815857,0.18745139241218567,0.6858789920806885,0.9754796028137207
8,0.9526709318161011,0.1622961312532425,0.6916426420211792,1.0264774560928345
9,0.9548851251602173,0.13939175009727478,0.680115282535553,1.0423128604888916
10,0.9645723700523376,0.12505805492401123,0.680115282535553,1.087378978729248
11,0.9681705236434937,0.1140495240688324,0.6829971075057983,1.15730881690979
12,0.9692776203155518,0.10140436887741089,0.680115282535553,1.222723364830017
13,0.972045361995697,0.0985245630145073,0.6743515729904175,1.3090097904205322
14,0.972875714302063,0.09008467197418213,0.6772334575653076,1.3339269161224365
15,0.9725989699363708,0.08848831802606583,0.680115282535553,1.3243038654327393
16,0.973706066608429,0.08059494942426682,0.6772334575653076,1.3561649322509766
17,0.973429262638092,0.07717220485210419,0.7031700015068054,1.3891756534576416
18,0.9748131632804871,0.0783635601401329,0.6858789920806885,1.4304628372192383
19,0.9761970639228821,0.06945419311523438,0.6916426420211792,1.4279502630233765
20,0.9778577089309692,0.06576424837112427,0.6887608170509338,1.4725745916366577
21,0.9795184135437012,0.06877835094928741,0.6628242135047913,1.5203509330749512
22,0.9781345129013062,0.06883702427148819,0.6743515729904175,1.4784315824508667
23,0.976473867893219,0.0675354078412056,0.6887608170509338,1.5348496437072754
24,0.9775809645652771,0.06555462628602982,0.6916426420211792,1.550601840019226
